id	title	genre	duration	created_at	likes_count	reposts_count	kind	permalink	permalink_url	uri	user_id	tag_list	track_count	trackIds
324589801	EFC: Volume 21, 2017	Electronic	3236783	2017-05-20	15373	893	playlist	efc-volume-21-2017	https://soundcloud.com/electric-flight-crew/sets/efc-volume-21-2017	https://api.soundcloud.com/playlists/324589801	116881596	Fitness Workout Mixtape ElectricFlight	16	140251753,243910302,208441968,172245994,15317259,256414682,251532208,151690373,50931588,154692303,2422824,22348907,234391224,98845868,94536406,131713700
610333974	Morning Lofi	Lo-fi	2954619	2018-09-25	30953	1997	playlist	morning-lofi	https://soundcloud.com/butterxly/sets/morning-lofi	https://api.soundcloud.com/playlists/610333974	496993959	Morning Coffee Lofi Relax Chill Mood Mellow	17	462286779,375395780,432177582,154571200,232787613,337223917,346492734,346789671,442774920,410050863,205531776,222059941,461240172,446017497,570438510,370815809,656917457
172792390	Fuck Finals	Electronic 	9209148	2015-12-06	6440	446	playlist	fuck-finals	https://soundcloud.com/greg-korngut/sets/fuck-finals	https://api.soundcloud.com/playlists/172792390	71805625	Study Chill Remix	38	208684298,200083292,200083449,232459678,219240973,227165188,227358350,226144222,221054822,157848646,223196340,161257044,217742152,219823733,208798316,206100725,194510401,192408098,168093686,184971115,110921382,80790939,98104045,197666131,197436142,191613789,188323984,187314268,190622323,170833250,173290651,166085880,151845043,102584835,218778146,444448302,330227562,299004597
60750703	work out or get out.	Motivational	23752171	2014-11-23	75162	4645	playlist	work-out-or-get-out	https://soundcloud.com/madiparrot/sets/work-out-or-get-out	https://api.soundcloud.com/playlists/60750703	100962348	"""work out"" workout sweat rap motivation gym trap turnt pumped pump squats lift run cardio train sexy morning night love Party Edm ""Hip Hop"" ""dance en edm"" Work bodybuilding ""weight training"" motivate study running Happy"	77	1121190973,336860131,950020204,988847014,999423787,58970917,110922762,343388733,61853839,26098612,108863442,115322272,66691583,643380642,133060071,157794734,165338187,26398587,158625286,163975723,233632940,597361056,589602720,66026464,182852309,198775889,347919408,513550068,424743186,458702754,239422269,296514356,260987219,176873805,196705190,337499778,393540414,348839356,45719017,144235263,145897691,165954411,447843006,318511652,473475024,434745726,99242911,325560277,570106038,90502922,160700617,136536788,158124257,145190806,138391667,91990553,151737120,158142605,133828704,157704209,60173178,216847995,36078286,222334252,136874746,128725502,234856125,150314242,62869603,179074875,174431495,154670003,169844692,149499982,268881990,349602700,136870321
223557686	YNM#4	Hip-hop & Rap	8965082	2016-05-09	13200	860	playlist	noise-basement	https://soundcloud.com/teamdr/sets/noise-basement	https://api.soundcloud.com/playlists/223557686	47788017	"club party ""Hip Hop"" dance"	40	166806576,154696577,18180609,227404021,151890447,94497567,173752787,124818101,93698799,181092800,58982198,55619529,222097527,235089107,235345950,128916148,151115481,206268195,206558035,153330529,237603952,213539368,216513050,206606028,70528665,6032314,249686647,283124766,179948900,160472898,210601966,184286258,93318593,37838421,5167734,223780028,94372131,205839905,278942474,53119616
629061165	warm winter night		4372510	2018-10-23	3721	186	playlist	hello-winter	https://soundcloud.com/lolollov2/sets/hello-winter	https://api.soundcloud.com/playlists/629061165	150205120	sleep warm pop winter ballad night cozy	19	195885997,74287352,134013898,179538249,34486990,130371085,271318281,187145364,57473182,173654354,515411607,516531678,341758474,517068543,381734975,115171122,234167814,451715244,170188049
288215689	Workout 1		23263895	2017-01-01	1055	31	playlist	workout-1	https://soundcloud.com/mohammed-waqas-anwar/sets/workout-1	https://api.soundcloud.com/playlists/288215689	69539019		12	268697383,145897691,99287868,114478535,142569519,102089142,67027806,120382824,120607723,58265852,138679758,145394670
291635597	Lo-Fi Hip Hop	lofi	7974684	2017-01-14	13342	823	playlist	hip-hop-instrumental	https://soundcloud.com/fransdans/sets/hip-hop-instrumental	https://api.soundcloud.com/playlists/291635597	254559748	"lo-fi lofi ""Hip Hop"" ""lo fi hip hop"" ""lo-fi hip hop"" Chill"	47	298274661,184713832,184801789,184662781,184540170,183639245,186150412,185997688,185939070,185895689,185896233,185911422,185817149,170681780,211963842,290579281,294858717,301112036,301101968,259423946,79690483,173194721,236846473,167505592,187846074,202895115,192064578,258081988,243828336,251579456,248622798,280848636,241036524,269895328,224065219,301225335,302680766,298575050,302704386,300063043,300169570,290642321,302628799,302353809,318772192,318341004,301441657
319658000	Best Of Chill City	Chill	6582370	2017-05-01	23962	1132	playlist	bestofchillcity	https://soundcloud.com/ilyanaazman/sets/bestofchillcity	https://api.soundcloud.com/playlists/319658000	214279944	"Chill workout Chillout Relax Best Of ""Chill City"" ""Best Of Chill City"" Party"	32	328236265,1124255179,162696219,1132656070,797664976,480700689,323733248,156076663,218778146,181052013,718958992,258971084,97277740,103743010,366780950,611109894,198800140,257300076,290210997,227358350,225036008,157848646,448425963,236359772,208109881,251043420,182397550,194413034,229291962,286587413,502191579,271068231
320175067	Chill Mix(High On Chill)	Chill	7226020	2017-05-03	201449	14443	playlist	chill-mix-high-on-chill	https://soundcloud.com/lukasm1/sets/chill-mix-high-on-chill	https://api.soundcloud.com/playlists/320175067	206714507	"Chill chillmix ""high on chill"" highonchill chillmusic"	33	220698613,629483316,1060922269,328389810,820259254,205575033,662039588,851514058,511108092,174656930,249023203,154365055,222930763,547940646,239992125,157946069,411023904,191787740,222022097,270504415,229381822,199515702,208090969,212707626,225515495,187158437,264751839,267772402,125851434,280873319,70720057,213984415,136536788
193031282	Trap -A- Holics	Dance & EDM	8719823	2016-02-05	13587	824	playlist	traphouse	https://soundcloud.com/digitalstreams/sets/traphouse	https://api.soundcloud.com/playlists/193031282	133467077	Party chill study workout	40	150401647,851330758,391106682,376815344,620780847,706673272,236982097,158625139,414448011,168302619,235636737,192045793,358510127,264796430,391943448,258131331,132274550,235314205,333745010,460645383,225080350,156676597,215008422,386062049,275941094,461549412,151737120,740604346,843396718,830390422,892732606,935544391,137938051,156827940,321771293,300904585,320405940,332021983,142386286,910279129
320575442	new beginnings	party	10290611	2017-05-04	56684	3781	playlist	new-beginnings	https://soundcloud.com/ellamaley/sets/new-beginnings	https://api.soundcloud.com/playlists/320575442	117853877		43	1071474028,18853020,276801506,266129910,246881120,254372091,143553285,1029783535,75094051,260438383,266130188,284191361,157794734,154735997,183985851,249686647,221633905,221235708,108276978,128788786,300014098,220029283,293851934,205877501,242772156,145853309,167014436,187968474,156296349,268569501,132917214,12823470,257521871,223279603,251404572,244545936,115468010,279685910,207534343,85238853,232237756,242136202,99246847
216062615	Ja feel Coachella Weekender	Dance & EDM	6503431	2016-04-15	8165	484	playlist	coachella	https://soundcloud.com/jafeel/sets/coachella	https://api.soundcloud.com/playlists/216062615	82152513	"edm dance coachella jafeel ""ja feel"" jafeel.com party"	28	248700408,193594938,250676513,250711755,242136202,217765473,189659249,199861099,236005149,223993723,197436142,169176142,208199477,87314207,210753429,221759915,234934131,195510034,256360885,218230580,248878273,114225627,258013890,212522306,223228432,229743120,195052762,257871008
300611513	workout		26217318	2017-02-17	1491	63	playlist	workout	https://soundcloud.com/irandie-anderson/sets/workout	https://api.soundcloud.com/playlists/300611513	128573568		7	210988039,120157330,85161716,193673988,122442903,120107884,176649547
912407449	Winter Night Jazz	Jazz & Blues	5513475	2019-10-31	9629	377	playlist	winter-night-jazz	https://soundcloud.com/hanriverlove/sets/winter-night-jazz	https://api.soundcloud.com/playlists/912407449	552289491	Jazz Tag: mood winter read study 재즈 독서	17	53697285,241927037,189212408,30976115,186354842,114539104,110560031,131152471,177174174,48747103,59113127,136147515,201884246,96439060,76308114,203601376,119111363
292217076	STUDYღ	study	9136912	2017-01-16	9204	584	playlist	study	https://soundcloud.com/gravitation17/sets/study	https://api.soundcloud.com/playlists/292217076	282160952		13	134679527,135549659,130781881,61164815,109713624,116773448,62467976,133420913,228388201,123530088,318039841,203960483,68997746
289005141	meditation		19717201	2017-01-04	143689	8941	playlist	meditation	https://soundcloud.com/rehan-khan-55/sets/meditation	https://api.soundcloud.com/playlists/289005141	76445627		12	181443158,237317520,9191347,170361635,216431096,8138007,24767632,90097394,240347716,149844883,114241015,72596272
243269364	Instrumental 7 - Flow	Neoclassical	4025093	2016-07-21	38522	2353	playlist	instrumental-7	https://soundcloud.com/agamidae/sets/instrumental-7	https://api.soundcloud.com/playlists/243269364	17971787	Piano Instrumental Classical Work Study Relax	18	197982216,246061834,258663196,185370817,96916772,147532528,273488781,250569410,66365596,251152300,235799247,240248665,265105024,243927182,250729990,273488784,104715353,76526617
138042871	Sleep Playlist		2830790	2015-08-25	11055	728	playlist	sleep-playlist	https://soundcloud.com/blythe-tk/sets/sleep-playlist	https://api.soundcloud.com/playlists/138042871	167464767	relax sleep chill fallasleep nightime	14	64513786,4937642,2489994,174136820,9353913,76094908,78898140,18978390,45400275,213950777,87471714,552449307,573817788,711159106
103109385	Workout- Rap/ Hip Hop		6485469	2015-04-30	77603	3674	playlist	workout-rap	https://soundcloud.com/walia-harsimron/sets/workout-rap	https://api.soundcloud.com/playlists/103109385	55360164	hip hop hiphop rap workout gym pump	13	90977083,156733823,192644436,188740741,91990553,173415056,163708138,45331786,10168665,177351859,164886821,58571992,147240727
933599338	Best of Progressive Tech House	Dance & EDM	10398286	2019-11-27	14432	586	playlist	newtracks	https://soundcloud.com/digitalstreams/sets/newtracks	https://api.soundcloud.com/playlists/933599338	133467077	study workout party chill	41	633163869,695096506,342040443,1039657408,1017023827,1016844649,839696539,548559726,602067156,544021575,407173590,575633730,178866071,97464233,700635556,599313219,672709985,690947884,721477717,590096274,468009285,173657460,389596800,220898256,706398853,755038207,693902272,414448521,775574314,230441763,706480894,391055388,886731487,337795600,305647188,529387053,973263205,250253058,1117843030,1074389911,1093097617
71418030	sleep/sad		4928726	2015-01-11	4841	571	playlist	sleep	https://soundcloud.com/xeefje/sets/sleep	https://api.soundcloud.com/playlists/71418030	122418842	sad sleep calm	14	169726555,33200301,167779033,56977365,160972615,62715602,149542220,166237090,72348489,94029981,149542226,154903684,103685353,122899544
295440993	pre work out 2017		27908928	2017-01-28	126655	6912	playlist	pre-work-out-2017	https://soundcloud.com/user154907890/sets/pre-work-out-2017	https://api.soundcloud.com/playlists/295440993	69241334		12	113780469,101364348,208475794,86990339,163434028,85161716,99287868,145394670,158311110,269628808,241220868,300366123
97281161	Top New Rap (2021)	Hip-hop & Rap	8345051	2015-04-11	9241	843	playlist	freshtracks	https://soundcloud.com/westcoastradiotv/sets/freshtracks	https://api.soundcloud.com/playlists/97281161	139777650	hiphop party rap workout study	39	1075344871,872169091,1084381669,1056306229,938722111,327193809,809985013,898455751,941189620,901699402,879400330,85282186,537457536,657336791,616168989,635613693,66292101,85520279,62872056,49462602,127576418,692605663,328922717,27019086,71525669,877595701,21802019,197394903,155894446,67452444,4743563,76235686,253320131,875168761,255911113,72751753,84018235,331775441,681531239
319928647	Breeze	lo-fi	5611621	2017-05-02	94208	5541	playlist	s10	https://soundcloud.com/yeonkkot/sets/s10	https://api.soundcloud.com/playlists/319928647	180340836	Ambient Chill lofi relax study	25	182977429,176662099,263290180,108503263,267570173,261023188,227905080,109879322,193711573,220748422,237929679,251880581,214478553,55412683,212739821,149986128,252456874,110544066,264228843,172321677,90895471,149445559,299607724,637543080,832257652
110187832	Best of Trap & Bass	trap	8344642	2015-05-23	50300	2859	playlist	trapmixtape	https://soundcloud.com/westcoastradiotv/sets/trapmixtape	https://api.soundcloud.com/playlists/110187832	139777650	party trap study workout	38	935544391,909356458,59527799,1070687083,1020090547,65540182,306589972,193202172,804982927,303527743,182273431,503152929,311047500,70742119,321771293,436177344,158625139,107340428,126236311,179074875,125633262,372151028,58640749,159827700,82507109,52243136,94121210,196649160,235314205,273275043,929026144,213120733,185870063,223907096,247202997,153828401,488680869,1091504863
341233920	T-4 Techno	Dance & EDM	13384937	2017-07-28	77467	3489	playlist	techno	https://soundcloud.com/digitalstreams/sets/techno	https://api.soundcloud.com/playlists/341233920	133467077	party Edm study workout chill Techno	37	516280089,1070790424,1096374643,604927656,988341022,386062244,910942156,865299241,678579462,637873314,1048299718,1025757052,747947578,585823035,592947948,89451438,347329278,401893161,413471613,451376265,493188819,488584116,511694859,327126794,338867092,361566284,477965802,496237644,584871582,573328155,687549415,631191231,764467348,328967210,1018463479,853549900,550792125
36114054	#Workout #Electronic	Electronic	25411168	2014-05-22	23400	1271	playlist	workout	https://soundcloud.com/tere-mancha/sets/workout	https://api.soundcloud.com/playlists/36114054	20547708	workout	97	4863682,394945092,145897691,95197881,111117742,56066,38405361,5269226,44790712,43227597,118546477,92179722,5767091,150331368,123174830,110298347,156678679,115353670,90457226,157794734,155226929,122169303,144825089,132138072,25342321,201737188,71746221,2276702,126319193,186251898,184606338,6986861,137804311,174245971,115747207,69896377,214067301,215195317,127162897,170202151,217202072,92938627,4864081,203893572,172563704,35025499,124010414,205321999,85824179,204901054,79973942,90836790,128725502,157704209,51523911,145656913,217196521,114311168,147988008,162787085,196156839,20489388,229293475,148418134,41384271,58591488,78211148,98854414,173066681,204069891,158136067,207445194,125092716,128350315,244385944,141195383,96640941,147431162,180729095,192045793,210355481,181946814,347592291,84529219,91060965,217940116,287164132,167822607,65580404,327721159,754745788,327190766,78842414,922000072,1014637333,247202820,128678458
1122202132	You are my autumn		5396597	2020-09-03	3902	129	playlist	you-are-my-autumn	https://soundcloud.com/hanriverlove/sets/you-are-my-autumn	https://api.soundcloud.com/playlists/1122202132	552289491	study relax sleep	21	375155102,203601376,14651983,87382115,120550687,200584820,35431836,135762933,302994567,27755094,167966604,2761456,192803730,119292652,54600783,189794652,244033917,137345780,104937338,154984909,38221541
285679937	Best Rap Classics (All-Time)	Hip-hop & Rap	7875257	2016-12-23	28937	1452	playlist	hiphopbangers	https://soundcloud.com/officialdigitalrecords/sets/hiphopbangers	https://api.soundcloud.com/playlists/285679937	31226676	party study workout chill relax	31	73601118,1073130997,274456660,577716339,4978773,579277008,6076703,11872152,1589656,24340638,4978788,34004846,44215657,46097879,56344647,84117195,84549177,99703879,157221556,166351658,170344264,173752787,175299288,182908491,185619537,197629195,274124920,441327825,537459837,845461975,855356536
59072393	sleepy	high	20372818	2014-11-12	18723	1316	playlist	highinbed	https://soundcloud.com/stellaraee/sets/highinbed	https://api.soundcloud.com/playlists/59072393	19238796	moon stars chill sleep love chillstep beats clouds	78	334215869,324630048,411023904,472987860,493525392,53407013,143660058,89201484,89201482,56402648,162331966,155449930,464442813,110920917,139932457,142917222,105096441,132886509,175500056,115871091,165543943,162331954,127450085,176568862,129316455,5092846,172721036,182125133,182125245,187372949,188225826,193862948,193858683,186403309,149588067,200612422,144156578,109581819,118123403,201645058,195584511,200771815,128169741,169017493,213757533,217900201,166707546,167341710,129713426,148927360,219515872,36127402,5855613,222716244,224177507,207584596,215794144,217500425,228511715,228245614,135587714,186251898,82093398,80014147,229494201,235363878,233955078,183393404,177097457,227834793,229355234,238656964,137479176,233833465,157848646,263877508,143260316,476995989
144093000	Chilling, sleeping	chill	5726278	2015-09-12	3351	246	playlist	chill-tunes	https://soundcloud.com/xpolina/sets/chill-tunes	https://api.soundcloud.com/playlists/144093000	45414336	chillout study sleep sex love	22	849064699,184456334,195247422,197079326,74600199,169679141,205411764,153867780,83865550,210892797,210916208,180094684,195872134,194031888,206220422,169170570,184675127,141618479,131548723,32156029,217971334,223228432
