Playlist ID	Tilte	Playlist url	Genre	Likes count	Repost count	Track Count	TrackIDs	Creator ID	Creator name	user url
460647645	Majestique - Majestique	https://soundcloud.com/wearedirtysoul/sets/majestique	Indie Dance / Nu Disco	293	55.0	12	271040935 271040768 271540661 269375577 284256333 283938261 284256462 284256602 406938582 406938000 406937466 406936980 	114645390	Dirty Soul Music	https://soundcloud.com/wearedirtysoul
449049477	F-Man - Rainy Days EP	https://soundcloud.com/cyfirecords/sets/f-man-rainy-days-ep-1	Deep House	16	6.0	3	399945990 399945981 399945975 	2375205	CYFI Records	https://soundcloud.com/cyfirecords
472927566	Funkerman - 50.000 Watts of Funk / Lodi	https://soundcloud.com/flamingo-recordings/sets/out-now-funkerman-50-000-watts	House	35	8.0	2	409564416 409914837 	247973	Flamingo Recordings	https://soundcloud.com/flamingo-recordings
485261997	Out now: F-Man - Fixy EP	https://soundcloud.com/cyfirecords/sets/out-now-f-man-fixy-ep	Techno / Deep Progressive	24	5.0	3	420872835 420871152 420874587 	2375205	CYFI Records	https://soundcloud.com/cyfirecords
502194891	Marco V - Timelapse EP.1 (The Remixes)	https://soundcloud.com/marco-v/sets/marco-v-timelapse-ep-1-the-remixes	Trance	35	9.0	3	432031515 431621253 431005359 	607980	Marco V	https://soundcloud.com/marco-v
504992700	Funkerman - Another Version Of Me(The Remixes)	https://soundcloud.com/beyourselfmusic/sets/funkerman-another-version-of	Electronic	10	2.0	4	418245176 424068900 429070233 429071241 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
526339281	Andy Himself - Kiss / Preacher	https://soundcloud.com/cyfirecords/sets/andy-himself-kiss-preacher	Tech House	7	5.0	2	448443651 448443657 	2375205	CYFI Records	https://soundcloud.com/cyfirecords
522554802	Ibiza Trance 2018 Exclusives	https://soundcloud.com/highcontrastrecordings/sets/ibiza-trance-2018-exclusives	Trance	12	6.0	4	445835661 445833411 445831386 445829724 	85334306	High Contrast Recordings	https://soundcloud.com/highcontrastrecordings
546121887	In Charge Recordings	https://soundcloud.com/beyourselfmusic/sets/in-charge-recordings	Trance	9	3.0	20	1129151605 732716947 702788515 702811768 686469628 601458225 594145842 533298168 468154701 461874627 437857398 432031515 431621253 431005359 411095247 346728964 341590606 621998238 721691428 748782424 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
559234146	Be Yourself	https://soundcloud.com/beyourselfmusic/sets/be-yourself	Dance & EDM	11	3.0	79	1004030101 986610217 964793056 952875922 948640408 931545532 927232945 927958852 820145719 916505687 909192079 911553907 897411853 894197839 809759311 808102360 798181309 786698785 789809263 788993605 776942524 774809881 762017800 752001073 754389526 746492092 739227319 731490835 725224528 714747445 708154900 707656126 703173532 695554897 693760021 690403261 686993035 686993041 674566943 676596479 666593336 659507246 497893788 652912424 643335798 641260392 639981453 628354086 627353790 610720851 610733523 610735821 611666814 611109894 603838542 596826576 579570714 563794905 560327388 556767789 583364805 548186430 519609510 533811294 518125251 499265199 486265518 483157197 474244989 470605548 467580405 464116230 441517422 441516225 454662300 452246721 931539619 932270452 1129133860 	633994	Be Yourself Music	https://soundcloud.com/beyourselfmusic
565349124	Flamingo DJ Tools EP vol. 4	https://soundcloud.com/flamingo-recordings/sets/out-now-flamingo-dj-tools-ep-1	House	21	7.0	3	470643576 470643567 470643558 	247973	Flamingo Recordings	https://soundcloud.com/flamingo-recordings
574292160	Amersy - Before We Start EP	https://soundcloud.com/flamingo-recordings/sets/amersy-before-we-start-ep	Tech-House	71	20.0	2	480151155 480151104 	247973	Flamingo Recordings	https://soundcloud.com/flamingo-recordings
